jd, h2o, co2, dust
2455496.2804086 0.0 5.944761510019138e-07 5.944761510019138e-07
2455496.3012412 3.718293847061803e-05 6.0661406450578e-06 6.0661406450578e-06
2455496.3220748 4.397214802345019e-05 6.2937678331206246e-06 6.2937678331206246e-06
2455496.3429086 3.988992130254969e-05 8.014212903771766e-06 8.014212903771766e-06
2455496.363741 3.5484166569628236e-05 7.94188066723551e-06 7.94188066723551e-06
2455496.3845747 3.461357010175268e-05 6.50575099603141e-06 6.50575099603141e-06
2455496.4054083 2.3860868695230338e-05 6.092954822623251e-06 6.092954822623251e-06
2455496.426242 2.6131689594554963e-05 8.732134815126158e-06 8.732134815126158e-06
2455496.4470745 2.588804507823398e-05 9.804935294422532e-06 9.804935294422532e-06
2455496.4679081 0.0 -7.293338080495334e-09 -7.293338080495334e-09
2455496.4887417 2.970950425567081e-05 4.51352546413118e-06 4.51352546413118e-06
2455496.5095742 0.0 -3.821910982520662e-06 -3.821910982520662e-06
2455496.530408 2.490467358252447e-05 1.127851692106839e-05 1.127851692106839e-05
2455496.5512415 2.4692606980759474e-05 3.14278624981526e-06 3.14278624981526e-06
2455496.5720741 2.2152755319493712e-05 7.427985569374513e-06 7.427985569374513e-06
2455496.5929077 2.2931175524099698e-05 8.665568749158456e-06 8.665568749158456e-06
2455496.6137414 2.7108530323548858e-05 1.1160814774308743e-05 1.1160814774308743e-05
2455496.634575 2.9298310924441467e-05 1.1777945380108823e-05 1.1777945380108823e-05
2455496.6554077 3.3002749620802145e-05 1.4629710967485629e-05 1.4629710967485629e-05
2455496.6762413 3.7016249140505955e-05 1.3979016440115641e-05 1.3979016440115641e-05
2455496.6970748 4.316270615278933e-05 2.3827873661018578e-05 2.3827873661018578e-05
2455496.7179074 4.351849654728943e-05 2.5035313233867334e-05 2.5035313233867334e-05
2455496.7387411 4.112088880381512e-05 2.4389945423617936e-05 2.4389945423617936e-05
2455496.7595747 3.997751191382513e-05 2.7166104518834977e-05 2.7166104518834977e-05
2455496.7804073 4.5676090280884745e-05 2.476504045339278e-05 2.476504045339278e-05
2455496.8012409 4.0298076708840925e-05 3.021634609423327e-05 3.021634609423327e-05
2455497.5096954 0.0 -9.24942491816768e-06 -9.24942491816768e-06
2455497.5513614 2.7369616983492747e-05 2.6652653900298195e-05 2.6652653900298195e-05
2455497.5930275 3.667949681307821e-05 3.1797205918996726e-05 3.1797205918996726e-05
2455497.6346937 3.96905596516433e-05 3.263027774855836e-05 3.263027774855836e-05
2455497.6763598 4.2095762617825066e-05 3.360817660368686e-05 3.360817660368686e-05
2455497.7180249 3.796237178756098e-05 3.525088009639597e-05 3.525088009639597e-05
2455497.726871 2.3811616867397325e-05 3.301151108410803e-05 3.301151108410803e-05
2455497.7707352 3.406223389819625e-05 3.111782217138118e-05 3.111782217138118e-05
2455497.8124014 3.2498108263864222e-06 -4.263895820941518e-06 -4.263895820941518e-06
2455497.8540687 3.701021291641426e-05 2.428611662480397e-05 2.428611662480397e-05
2455497.8957349 3.698756359782961e-05 2.3756702678086752e-05 2.3756702678086752e-05
2455497.9374022 4.446983623499075e-05 1.666987607059006e-05 1.666987607059006e-05
2455497.9790684 0.0 -4.993182839260955e-06 -4.993182839260955e-06
2455498.0513611 3.684392938926236e-05 1.0593673120175413e-05 -0.00025147817826889684
2455498.0930272 3.1551038759922135e-05 1.9082886633010254e-05 0.0007416442613628858
2455498.1346933 2.671805269190316e-05 2.5126362892245923e-05 0.0005092804074569104
2455498.1763595 3.644504489842627e-05 2.5820194236892223e-05 0.0006981562645202967
2455498.2180255 4.823146333821452e-05 3.0611575279963026e-05 0.0005602103004308061
2455498.2596906 4.194177704188022e-05 3.092941802405335e-05 0.0007281155897279658
2455498.3013568 4.276255021426546e-05 2.580789890981138e-05 0.0006783501921301707
2455498.3430229 3.731455035222032e-05 1.7058211621473642e-05 0.0007285347472387894
