jd, h2o, co2
2455501.5513489 0.0024403650838978395 0.0017053759425933698
2455501.5930151 0.0022237911823039863 0.0013647902950362878
2455501.6346814 0.0 0.0
2455501.6763474 0.0018590356701755544 0.0010395116664451301
2455501.7180135 0.0017498833677292952 0.0009826351183288692
2455501.7268665 0.001871167384551043 0.0009032181332043665
2455501.7707307 0.001642631586083399 0.000904608609194766
2455501.812397 0.0020502682887406755 0.0007004634931530904
2455501.8540643 0.0016284573784831208 0.0007507077849206473
2455501.8957303 0.0015773428246447856 0.0008222265701913511
2455501.9373976 0.0019775289543595884 0.0009446701366559359
2455501.9790639 0.0016783258052602472 0.0011819295962949546
2455502.0513566 0.0 0.0
2455502.0930227 0.00240665491229017 0.0016516058154786644
2455502.1346889 0.0025011697516191386 0.0019459069304676856
2455502.176355 0.002554315435894259 0.0023300187872719283
2455502.2180211 0.0044750903840039425 0.0026481839877165484
2455502.2596861 0.0030945499631139604 0.002646105375485796
2455502.3013522 0.003334068900129126 0.0026852684958601067
2455502.3430184 0.0031311325752057012 0.002160579724747523
2455502.3846845 0.0024518017208603345 0.0017667068458129824
2455502.4263507 0.002512628000522269 0.0014312434435564889
2455502.4680168 0.00238915191676371 0.0015629239871323274
2455502.5096818 0.0020879655028094497 0.001621904331816007
2455502.551348 0.0020875832557862377 0.0012370759574970415
2455502.5930141 0.002315077796445841 0.0014294077670917017
2455502.6346803 0.002379962267402058 0.0017035713455804248
2455502.6763463 0.0024174759013021042 0.0022968159346023046
2455502.7180124 0.0031920532170777896 0.0025422224390546366
2455502.7268655 0.0035768122936883145 0.0024456577192714904
2455502.7707298 0.0037431385025242514 0.0024416881471670585
2455502.812396 0.00413593459550535 0.002861320513554493
2455502.8540633 0.0047318862537630724 0.0028496762162311764
2455502.8957294 0.0044210938978767505 0.002914066959066771
2455502.9373968 0.0043976469646135235 0.002396815331928403
2455502.9790629 0.004192744991000307 0.002432369588622417
2455503.3013548 0.0 0.0
2455503.3430208 0.0026419238564845604 0.0011671839226379856
2455503.384687 0.0027196295084891873 0.0012297164095992372
2455503.4263531 0.002771601235992947 0.001289109488787318
2455503.4680191 0.0029821777141195594 0.0016393220419653961
2455503.5096843 0.0 0.0
2455503.5513504 0.004404942775377323 0.003618761797914451
2455503.5930166 0.005291777276086117 0.0043188056804562835
2455503.6346827 0.0 0.0
2455503.6763488 0.006790640704494226 0.005316902947562605
2455503.7180149 0.006956282158111718 0.005239710353689779
2455503.7268645 0.007249235328982984 0.00498672615536501
2455503.7707287 0.007079302467789552 0.0050911531887760575
2455503.812395 0.0 0.0
2455503.8540623 0.0063940756142751055 0.004036672500780115
2455503.8957283 0.005907241917496847 0.003679731205521969
2455503.9373956 0.0054615218151829095 0.003351295016819362
2455503.9790619 0.004767334120774895 0.0029527070807497035
2455504.3360915 0.0 0.0
2455504.4194249 0.0 0.0
2455505.6266225 0.005143180364215568 0.0033342108664617992
2455505.6474559 0.00516123878843799 0.0033471927827382246
2455505.6682897 0.005033403132797618 0.0031405542073397884
2455505.6891233 0.004392167236968772 0.003141404770742551
