Created 04/28/21 by L. Feaga
HRI-IR/raw/DOY/ID/hi*_001*.fit
 
NAME                   SIZE      EXPID   OBSMIDJD         OBSDATE                 IMGMODEN IMGH027 INTTIME (ms)  TARSCR (km)   PXLSCALE (m/pix)  
DOY 298 
hi10102700_4000037_001 512 256   4000037 2455496.52818550 2010-10-27T00:40:29.231 BINFF    17      12000.3300000 9081037.15513 90810.372
hi10102701_4000039_001 512 256   4000039 2455496.54901920 2010-10-27T01:10:29.255 BINFF    17      12000.3300000 9059050.58408 90590.506
hi10102701_4000041_001 512 256   4000041 2455496.56985170 2010-10-27T01:40:29.185 BINFF    17      12000.3300000 9037064.25215 90370.643
hi10102702_4000043_001 512 256   4000043 2455496.59068530 2010-10-27T02:10:29.209 BINFF    17      12000.3300000 9015075.87097 90150.759
hi10102702_4000045_001 512 256   4000045 2455496.61151900 2010-10-27T02:40:29.241 BINFF    17      12000.3300000 8993086.49223 89930.865
hi10102703_4000047_001 512 256   4000047 2455496.63235250 2010-10-27T03:10:29.258 BINFF    17      12000.3300000 8971096.40422 89710.964
hi10102703_4000049_001 512 256   4000049 2455496.65318530 2010-10-27T03:40:29.211 BINFF    17      12000.3300000 8949106.18163 89491.062
hi10102704_4000051_001 512 256   4000051 2455496.67401890 2010-10-27T04:10:29.231 BINFF    17      12000.3300000 8927114.25158 89271.143
hi10102704_4000053_001 512 256   4000053 2455496.69485240 2010-10-27T04:40:29.244 BINFF    17      12000.3300000 8905121.52277 89051.215
hi10102705_4000055_001 512 256   4000055 2455496.71568500 2010-10-27T05:10:29.182 BINFF    17      12000.3300000 8883128.80862 88831.288
hi10102705_4000057_001 512 256   4000057 2455496.73651870 2010-10-27T05:40:29.214 BINFF    17      12000.3300000 8861134.05873 88611.341
hi10102706_4000059_001 512 256   4000059 2455496.75735230 2010-10-27T06:10:29.238 BINFF    17      12000.3300000 8839138.51604 88391.385
hi10102706_4000061_001 512 256   4000061 2455496.77818480 2010-10-27T06:40:29.168 BINFF    17      12000.3300000 8817143.23275 88171.432
hi10102707_4000063_001 512 256   4000063 2455496.79901840 2010-10-27T07:10:29.192 BINFF    17      12000.3300000 8795145.91956 87951.459
DOY 301
hi10102800_4000001_001 512 256   4000001 2455497.50626900 2010-10-28T00:08:57.640 BINFF    38      8000.33000000 8047852.92174 80478.529
hi10102801_4000003_001 512 256   4000003 2455497.54793500 2010-10-28T01:08:57.586 BINFF    38      8000.33000000 8003795.00849 80037.950
hi10102802_4000005_001 512 256   4000005 2455497.58960120 2010-10-28T02:08:57.540 BINFF    38      8000.33000000 7959733.76124 79597.338
hi10102803_4000007_001 512 256   4000007 2455497.63126730 2010-10-28T03:08:57.494 BINFF    38      8000.33000000 7915669.29204 79156.693
hi10102804_4000009_001 512 256   4000009 2455497.67293340 2010-10-28T04:08:57.444 BINFF    38      8000.33000000 7871601.66512 78716.017
hi10102805_4000011_001 512 256   4000011 2455497.71459850 2010-10-28T05:08:57.308 BINFF    38      8000.33000000 7827531.90126 78275.319
hi10102805_4000035_001 512 256   4000035 2455497.72344460 2010-10-28T05:21:41.613 BINFF    38      8000.33000000 7818174.82532 78181.748
hi10102806_4000037_001 512 256   4000037 2455497.76730880 2010-10-28T06:24:51.480 BINFF    38      8000.33000000 7771774.89912 77717.749
hi10102807_4000039_001 512 256   4000039 2455497.80897500 2010-10-28T07:24:51.437 BINFF    38      8000.33000000 7727696.82514 77276.968
hi10102808_4000041_001 512 256   4000041 2455497.85064230 2010-10-28T08:24:51.493 BINFF    38      8000.33000000 7683614.42016 76836.144
hi10102809_4000043_001 512 256   4000043 2455497.89230850 2010-10-28T09:24:51.458 BINFF    38      8000.33000000 7639529.99669 76395.300
hi10102810_4000045_001 512 256   4000045 2455497.93397590 2010-10-28T10:24:51.514 BINFF    38      8000.33000000 7595441.37087 75954.414
hi10102811_4000047_001 512 256   4000047 2455497.97564200 2010-10-28T11:24:51.467 BINFF    38      8000.33000000 7551350.90345 75513.509
hi10102813_4000001_001 512 256   4000001 2455498.04793480 2010-10-28T13:08:57.564 BINFF    38      8000.33000000 7474844.51276 74748.445
hi10102814_4000003_001 512 256   4000003 2455498.08960080 2010-10-28T14:08:57.510 BINFF    38      8000.33000000 7430745.78748 74307.458
hi10102815_4000005_001 512 256   4000005 2455498.13126690 2010-10-28T15:08:57.463 BINFF    38      8000.33000000 7386643.94339 73866.439
hi10102816_4000007_001 512 256   4000007 2455498.17293310 2010-10-28T16:08:57.421 BINFF    38      8000.33000000 7342539.04506 73425.390
hi10102817_4000009_001 512 256   4000009 2455498.21459910 2010-10-28T17:08:57.363 BINFF    38      8000.33000000 7298431.34854 72984.313
hi10102818_4000011_001 512 256   4000011 2455498.25626420 2010-10-28T18:08:57.231 BINFF    38      8000.33000000 7254321.58862 72543.216
hi10102819_4000013_001 512 256   4000013 2455498.29793040 2010-10-28T19:08:57.189 BINFF    38      8000.33000000 7210207.77177 72102.078
hi10102820_4000015_001 512 256   4000015 2455498.33959660 2010-10-28T20:08:57.143 BINFF    38      8000.33000000 7166091.06351 71660.911
hi10102821_4000017_001 512 256   4000017 2455498.38126280 2010-10-28T21:08:57.108 BINFF    38      8000.33000000 7121971.28917 71219.713
hi10102822_4000019_001 512 256   4000019 2455498.42292890 2010-10-28T22:08:57.054 BINFF    38      8000.33000000 7077848.84862 70778.488
hi10102823_4000021_001 512 256   4000021 2455498.46459500 2010-10-28T23:08:57.008 BINFF    38      8000.33000000 7033723.42361 70337.234
DOY 302
hi10102900_4000023_001 512 256   4000023 2455498.50626000 2010-10-29T00:08:56.864 BINFF    38      8000.33000000 6989596.32392 69895.963
hi10102901_4000025_001 512 256   4000025 2455498.54792620 2010-10-29T01:08:56.822 BINFF    38      8000.33000000 6945465.12438 69454.651
hi10102902_4000027_001 512 256   4000027 2455498.58959230 2010-10-29T02:08:56.776 BINFF    38      8000.33000000 6901331.12714 69013.311
hi10102903_4000029_001 512 256   4000029 2455498.63125860 2010-10-29T03:08:56.742 BINFF    38      8000.33000000 6857194.17249 68571.942
hi10102904_4000031_001 512 256   4000031 2455498.67292460 2010-10-29T04:08:56.688 BINFF    38      8000.33000000 6813054.65330 68130.547
hi10102905_4000033_001 512 256   4000033 2455498.71459080 2010-10-29T05:08:56.646 BINFF    38      8000.33000000 6768912.20343 67689.122
hi10102905_4000035_001 512 256   4000035 2455498.72344380 2010-10-29T05:21:41.540 BINFF    38      8000.33000000 6759532.75796 67595.328
hi10102906_4000037_001 512 256   4000037 2455498.76730800 2010-10-29T06:24:51.411 BINFF    38      8000.33000000 6713057.99618 67130.580
hi10102907_4000039_001 512 256   4000039 2455498.80897410 2010-10-29T07:24:51.365 BINFF    38      8000.33000000 6668909.34390 66689.093
hi10102908_4000041_001 512 256   4000041 2455498.85064150 2010-10-29T08:24:51.428 BINFF    38      8000.33000000 6624756.61883 66247.566
hi10102909_4000043_001 512 256   4000043 2455498.89230770 2010-10-29T09:24:51.386 BINFF    38      8000.33000000 6580602.47305 65806.025
hi10102910_4000045_001 512 256   4000045 2455498.93397500 2010-10-29T10:24:51.441 BINFF    38      8000.33000000 6536444.43226 65364.444
hi10102911_4000047_001 512 256   4000047 2455498.97564110 2010-10-29T11:24:51.395 BINFF    38      8000.33000000 6492284.95726 64922.850
hi10102913_4000001_001 512 256   4000001 2455499.04793390 2010-10-29T13:08:57.491 BINFF    38      8000.33000000 6415659.79852 64156.598
hi10102914_4000003_001 512 256   4000003 2455499.08960000 2010-10-29T14:08:57.437 BINFF    38      8000.33000000 6371493.17729 63714.932
hi10102915_4000005_001 512 256   4000005 2455499.13126610 2010-10-29T15:08:57.395 BINFF    38      8000.33000000 6327323.79653 63273.238
hi10102916_4000007_001 512 256   4000007 2455499.17293230 2010-10-29T16:08:57.349 BINFF    38      8000.33000000 6283151.86517 62831.519
