jd, h2o, co2, dust
2455495.5338819 0.0011443514806531534 0.0002826726696325881 0.0002826726696325881
2455495.5547147 0.0009237067570774578 0.00027154195259345673 0.00027154195259345673
2455495.5755484 0.0010971938655501175 0.0002195024799024039 0.0002195024799024039
2455495.5963821 0.001224927538052853 0.0003141963341929371 0.0003141963341929371
2455495.6172144 0.0010954373794096136 0.000280029148561899 0.000280029148561899
2455495.638048 0.0009200233779940236 0.00022690738928830988 0.00022690738928830988
2455495.6588817 0.0009183943345931342 0.000171135624716192 0.000171135624716192
2455495.6797152 0.0009393929771650647 0.00016418761925188197 0.00016418761925188197
2455495.700548 0.0008757481321292014 0.00013705132914550438 0.00013705132914550438
2455495.7213816 0.0009383611287103903 0.00011051676719920226 0.00011051676719920226
2455495.7422151 0.0009480110766914249 7.299742677807313e-05 7.299742677807313e-05
2455495.7630477 0.0009136188745597898 0.00014511453993922572 0.00014511453993922572
2455495.7838814 0.0009976049112320753 0.0001994394550708127 0.0001994394550708127
2455495.804715 0.0007963034278043833 0.0001474104531836548 0.0001474104531836548
2455495.8255474 0.0007699716161806003 0.0002045251249733089 0.0002045251249733089
2455495.8463811 0.0009143436227367273 0.0002480333666060545 0.0002480333666060545
2455496.1554079 0.0 0.0 0.0
2455496.1762416 0.0014012401629096614 0.00021852231529502874 0.00021852231529502874
2455496.1970752 0.0012195142000211623 0.00018177735119756378 0.00018177735119756378
2455496.2179079 0.0012558028955758627 0.0002380848800174543 0.0002380848800174543
2455496.2387415 0.0010091089168792063 7.01330748333366e-05 7.01330748333366e-05
2455496.2595752 0.0011967283515267372 9.733219400667974e-05 9.733219400667974e-05
2455496.2804086 0.0 0.0 0.0
2455496.3012412 0.0011954012644440435 0.00024187139915624224 0.00024187139915624224
2455496.3220748 0.0013495543522295242 0.00020152618395975538 0.00020152618395975538
2455496.3429086 0.0012529118712470845 0.00018418119348739706 0.00018418119348739706
2455496.363741 0.0010988536566084374 0.000136673154416272 0.000136673154416272
2455496.3845747 0.0011810296940145913 0.00014673508215119836 0.00014673508215119836
2455496.4054083 0.0010678576836191836 0.00012587870280225178 0.00012587870280225178
2455496.426242 0.0009681979423825427 0.00012599251981382215 0.00012599251981382215
2455496.4470745 0.0010051338142895686 0.00017146604012924363 0.00017146604012924363
2455496.4679081 0.0 0.0 0.0
2455496.4887417 0.0009663813895131136 0.0001602922184233994 0.0001602922184233994
2455496.5095742 0.0 0.0 0.0
2455496.530408 0.00094757022456068 0.00021828300167158285 0.00021828300167158285
